PHYSICAL_ABUSE,SEXUAL_ABUSE,EMOTIONAL_ABUSE_NEGLECT,ALCOHOL_ABUSE_CHILD,DRUG_ABUSE_CHILD,ALCOHOL_ABUSE_PARENT,DRUG_ABUSE_PARENT,PHYSICAL_NEGLECT,DOMESTIC_VIOLENCE,INADEQUATE_HOUSING,CHILD_BEHAVIOR_PROBLEM,CHILD_DISABILITY,INCARCERATION_OF_PARENT,DEATH_OF_PARENT,CAREGIVER_INABILITY_TO_COPE,ABANDONMENT,TRANSITION_TO_INDEPENDENCE,INADEQUATE_SUPERVISION,PROSPECTIVE_EMOTIONAL_ABUSE_NEGLECT,PROSPECTIVE_MEDICAL_NEGLECT,PROSPECTIVE_PHYSICAL_ABUSE,PROSPECTIVE_PHYSICAL_NEGLECT,PROSPECTIVE_SEXUAL_ABUSE,RELINQUISHMENT,REQUEST_FOR_SERVICE,ADOPTION_DISSOLUTION,MEDICAL_NEGLECT,CSEC,LABOR_TRAFFICKING,SEXUAL_ABUSE_SEXUAL_EXPLOITATION,RACE_WHITE,RACE_BLACK,RACE_ASIAN,RACE_UNKNOWN,RACE_HAWAIIAN,RACE_AMERICAN_INDIAN,RACE_MULTI_RCL,HISPANIC,AGE_AT_PLACEMENT_BEGIN,NEW_REMOVAL,CHILD_NUM_PREV_PLACEMENTS,CHILD_NUM_PREV_PLACEMENTS_GOOD,CHILD_NUM_PREV_PLACEMENTS_NEUTRAL,CHILD_NUM_PREV_PLACEMENTS_BAD,CHILD_PREV_PLACEMENT_OUTCOME_1.0,CHILD_PREV_PLACEMENT_OUTCOME_2.0,CHILD_PREV_PLACEMENT_OUTCOME_3.0,CHILD_PREV_PLACEMENT_OUTCOME_nan,CHILD_DAYS_SINCE_FIRST_PLACEMENT,CHILD_NUM_PREV_PLACEMENTS_GOOD_PERC,CHILD_NUM_PREV_PLACEMENTS_NEUTRAL_PERC,CHILD_NUM_PREV_PLACEMENTS_BAD_PERC,IVEFC,IVEAA,IVAAFDC,IVDCHSUP,XIXMEDCD,SSIOTHER,NOA,FCMNTPAY,CLINDIS,MR,VISHEAR,PHYDIS,EMOTDIST,OTHERMED,CASEGOAL_1,CASEGOAL_2,CASEGOAL_3,CASEGOAL_4,CASEGOAL_5,CASEGOAL_6,CASEGOAL_7,CASEGOAL_99,ISWAITING,EVERADPT_1.0,EVERADPT_2.0,AGEADOPT_0.0,AGEADOPT_1.0,AGEADOPT_2.0,AGEADOPT_3.0,AGEADOPT_4.0,CTKFAMST_1.0,CTKFAMST_2.0,CTKFAMST_3.0,CTKFAMST_4.0,CARETAKER_AGE,PROVIDER_NUM_PREV_PLACEMENTS_GOOD_PERC,PROVIDER_NUM_PREV_PLACEMENTS_NEUTRAL_PERC,PROVIDER_NUM_PREV_PLACEMENTS_BAD_PERC,PROVIDER_DAYS_SINCE_FIRST_PLACEMENT,PROVIDER_NUM_PREV_PLACEMENTS,PROVIDER_NUM_PREV_PLACEMENTS_GOOD,PROVIDER_NUM_PREV_PLACEMENTS_NEUTRAL,PROVIDER_NUM_PREV_PLACEMENTS_BAD,PROVIDER_PREV_PLACEMENT_OUTCOME_1.0,PROVIDER_PREV_PLACEMENT_OUTCOME_2.0,PROVIDER_PREV_PLACEMENT_OUTCOME_3.0,PLACEMENT_(NULL),PLACEMENT_FOSTER_FAMILY_HOME_(NON-RELATIVE),PLACEMENT_FOSTER_FAMILY_HOME_(RELATIVE),PLACEMENT_GROUP_HOME,PLACEMENT_INSTITUTION,PLACEMENT_PRE-ADOPTIVE_HOME,PLACEMENT_RUNAWAY,PLACEMENT_SUPERVISED_INDEPENDENT_LIVING,PLACEMENT_TRIAL_HOME_VISIT,RF1AMAKN,RF1ASIAN,RF1BLKAA,RF1NHOPI,RF1WHITE,RF1UTOD,HOFCCTK1,FOSTER_AGE
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.55,0.0,,0.0,,0.0,0,0,0,0,2392.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,5540,7,6,0,1,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.55,0.0,,0.0,,0.0,0,0,0,0,2392.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7826086956521741,0.0,0.21739130434782608,445,23,18,0,5,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.55,0.0,,0.0,,0.0,0,0,0,0,2392.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1592,2,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.55,0.0,,0.0,,0.0,0,0,0,0,2392.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.13333333333333333,0.6,4433,30,8,4,18,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,74.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.55,0.0,,0.0,,0.0,0,0,0,0,2392.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2726,6,6,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,44.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.55,0.0,,0.0,,0.0,0,0,0,0,2392.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,3946,10,6,0,4,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,55.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.55,0.0,,0.0,,0.0,0,0,0,0,2392.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,2568,7,4,3,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,57.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.55,0.0,,0.0,,0.0,0,0,0,0,2392.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1809,6,6,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,42.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.55,0.0,,0.0,,0.0,0,0,0,0,2392.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2755,1,1,0,0,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,46.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.55,0.0,,0.0,,0.0,0,0,0,0,2392.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,3763,10,8,0,2,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,63.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.55,0.0,,0.0,,0.0,0,0,0,0,2392.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2297,3,3,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,51.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.55,0.0,,0.0,,0.0,0,0,0,0,2392.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,2469,6,5,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,
